Gemeindecode;Gemeindename;Einwohner;Bevoelkerungs-dichte pro km2;Veraenderung in Prozent;Durch Wanderungs-bewegung;Durch Geburtenueber-schuss;Auslaender in Prozent;0-19 Jahre;20-64 Jahre;65 Jahre und mehr;Gesamtflaeche in km2;Siedlungsflaeche in Prozent;Landwirtschafts-flaeche in Prozent;Wald und Gehoelze in Prozent;Unproduktive Flaeche in Prozent;Beschaeftigte total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Arbeitsstaetten total;im 1. Sektor;im 2. Sektor;im 3. Sektor;Neu gebaute Wohnungen pro 1000 Einwohner;Leerwohnungs-ziffer;Sozialhilfequote;FDP 2);CVP;SP;SVP;EVP/CSP;GLP;BDP;PdA/Sol.;GPS;Kleine Rechtsparteien;Uebrige
Jahr;;2012.000;2012.000;2010-2012;2010-2012;2010-2012;2012.000;2012.000;2012.000;2012.000;38231.000;38231.000;38231.000;38231.000;38231.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2012.000;2013.000;2012.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000;2011.000
0;Schweiz;8039060.000;201.000;2.100;1.300;0.500;23.300;20.400;62.200;17.400;41285.000;7.500;35.900;31.300;25.300;4847365.000;171162.000;1082549.000;3593653.000;638685.000;59272.000;94836.000;484577.000;5.600;0.960;3.100;15.100;12.300;18.700;26.600;2.300;5.400;5.400;0.900;8.400;2.700;2.200
1;Aeugst am Albis;1955.000;247.155;7.182;6.469;0.493;14.169;21.637;63.018;15.345;7.870;12.579;51.334;30.877;5.210;446.438;45.000;13.000;388.438;135.000;17.000;11.000;107.000;7.673;0.460;0.785;14.037;3.276;15.218;28.652;4.216;10.714;6.834;0.040;9.672;4.883;2.500
2;Affoltern am Albis;11276.000;1062.771;1.668;0.325;0.685;26.038;21.027;63.037;15.937;10.600;30.755;40.094;28.208;0.943;5969.275;83.000;1291.164;4595.111;890.000;25.000;140.000;725.000;8.602;0.416;3.396;10.842;5.675;16.458;31.894;4.516;10.334;6.591;0.131;8.367;2.309;2.900
3;Bonstetten;5205.000;700.538;0.892;-1.318;1.919;13.237;24.573;62.286;13.141;7.450;15.570;55.436;28.591;0.403;973.455;56.500;115.000;801.955;265.000;17.000;30.000;218.000;0.000;0.174;0.599;12.677;3.678;18.160;27.095;3.334;17.036;5.665;0.116;7.467;1.629;3.100
4;Hausen am Albis;3376.000;247.871;0.476;0.119;0.476;12.767;23.015;61.434;15.551;13.680;12.646;55.775;29.020;2.558;966.636;110.000;102.000;754.636;243.000;41.000;27.000;175.000;5.628;1.373;0.864;9.590;3.266;15.612;33.535;2.245;14.213;6.687;0.042;11.418;1.682;1.700
5;Hedingen;3511.000;537.672;2.962;1.496;0.997;14.497;24.096;62.091;13.814;6.530;19.908;46.248;33.231;0.613;1532.450;38.000;764.902;729.548;197.000;12.000;30.000;155.000;9.684;2.457;0.836;8.221;3.724;20.531;31.439;4.069;14.304;3.987;0.192;9.100;2.167;2.300
6;Kappel am Albis;922.000;116.561;0.436;-1.416;1.416;11.931;24.946;61.171;13.883;7.830;8.301;69.987;20.562;1.149;257.952;57.000;80.929;120.024;91.000;24.000;21.000;46.000;1.085;5.882;0.314;9.047;4.471;10.488;46.593;4.884;7.372;6.206;0.044;6.703;0.953;3.200
7;Knonau;1982.000;306.337;10.111;8.944;0.889;14.834;23.209;62.462;14.329;6.510;17.972;62.212;17.204;2.611;481.822;69.000;162.000;250.822;118.000;27.000;20.000;71.000;9.082;1.712;0.845;7.346;4.803;17.113;32.078;6.971;12.347;6.380;0.056;7.775;3.800;1.300
8;Maschwanden;641.000;136.674;4.058;3.084;0.487;11.544;24.649;60.218;15.133;4.680;8.974;59.615;23.718;7.692;132.736;47.000;36.000;49.736;47.000;18.000;6.000;23.000;0.000;1.010;0.156;6.189;1.575;20.738;37.820;8.197;10.738;4.893;0.026;3.760;3.077;3.000
9;Mettmenstetten;4420.000;339.739;4.172;3.064;0.966;13.575;22.738;62.964;14.299;13.050;15.939;64.215;18.621;1.226;1526.561;149.000;587.580;789.981;276.000;45.000;50.000;181.000;6.787;2.400;1.165;9.298;4.582;16.323;30.646;4.102;13.389;6.820;0.107;7.884;4.639;2.200
10;Obfelden;4833.000;640.132;3.137;1.878;1.152;17.629;23.422;61.556;15.022;7.550;24.238;49.272;21.325;5.166;1237.051;70.000;338.388;828.663;299.000;21.000;65.000;213.000;12.828;0.722;2.226;11.014;6.528;16.260;31.974;4.397;9.506;7.210;0.050;6.571;4.369;2.100
11;Ottenbach;2480.000;495.010;2.905;1.494;1.369;9.960;21.169;63.548;15.282;4.980;20.884;55.221;19.880;4.016;775.297;40.000;224.085;511.212;168.000;16.000;31.000;121.000;14.113;0.363;1.220;15.494;4.469;16.838;30.860;2.315;11.619;5.793;0.211;8.369;2.283;1.700
12;Rifferswil;957.000;147.005;6.333;3.889;1.667;6.374;26.437;60.815;12.748;6.570;10.350;64.840;22.679;2.131;251.502;48.000;88.000;115.502;81.000;17.000;18.000;46.000;7.315;0.244;0.429;6.599;2.546;19.124;28.466;6.340;12.245;3.862;0.083;13.743;4.268;2.700
13;Stallikon;3309.000;274.834;4.682;2.752;1.329;18.132;20.338;64.521;15.141;12.010;11.074;38.052;49.792;1.082;871.063;46.000;258.214;566.850;183.000;18.000;27.000;138.000;0.907;0.983;0.794;13.562;5.390;16.273;33.492;1.901;12.629;7.858;0.024;5.436;1.475;2.000
14;Wettswil am Albis;4579.000;1217.819;1.350;-0.266;1.328;13.060;21.686;57.873;20.441;3.770;40.849;33.952;20.955;4.244;949.450;18.000;292.539;638.911;270.000;8.000;44.000;218.000;3.276;0.000;0.675;18.440;5.738;14.091;29.462;2.922;13.708;6.720;0.142;4.287;1.704;2.800
21;Adlikon;561.000;85.129;-2.773;-5.373;-0.173;4.100;19.251;63.280;17.469;6.640;10.994;63.705;22.741;2.560;174.182;59.000;19.000;96.182;60.000;24.000;9.000;27.000;7.130;1.667;0.867;7.633;0.693;7.523;55.712;4.606;7.924;6.379;0.011;5.538;3.473;0.500
22;Benken (ZH);823.000;145.406;3.133;1.754;0.877;10.450;19.320;66.829;13.852;5.670;8.113;57.672;33.862;0.353;247.567;83.000;59.000;105.567;74.000;22.000;13.000;39.000;3.645;3.039;2.442;6.302;2.385;10.371;47.388;1.281;5.320;11.845;0.277;7.565;5.892;1.400
23;Berg am Irchel;587.000;83.618;-2.003;-1.669;0.668;8.007;16.695;64.906;18.399;7.060;4.958;48.159;45.326;1.558;164.024;59.400;26.000;78.624;59.000;25.000;11.000;23.000;1.704;1.132;1.536;7.561;1.814;6.621;51.232;2.443;10.396;7.614;0.032;7.646;2.293;2.400
