"gdenr";"Total_erwachsene";"Total_kinder";"Ausl�nder_erwachsene";"Ausl�nder_kinder";"aus_kind_perc";"aus_erw_perc";"gdename";"plz"
"1";"1598";"357";"218";"59";"17";"14";"Aeugstertal";"8914"
"2";"9330";"1946";"2404";"532";"27";"26";"AffolternamAlbis";"8910"
"2";"9330";"1946";"2404";"532";"27";"26";"Zwillikon";"8909"
"3";"4096";"1109";"549";"140";"13";"13";"Bonstetten";"8906"
"4";"2709";"667";"332";"99";"15";"12";"Sihlbrugg";"6340"
"4";"2709";"667";"332";"99";"15";"12";"Ebertswil";"8925"
"4";"2709";"667";"332";"99";"15";"12";"HausenamAlbis";"8915"
"5";"2819";"692";"414";"95";"14";"15";"Hedingen";"8908"
"6";"717";"205";"83";"27";"13";"12";"KappelamAlbis";"8926"
"7";"1593";"389";"248";"46";"12";"16";"Knonau";"8934"
"8";"507";"134";"55";"19";"14";"11";"Maschwanden";"8933"
"9";"3579";"841";"479";"121";"14";"13";"Mettmenstetten";"8932"
"10";"3871";"962";"688";"164";"17";"18";"Obfelden";"8912"
"11";"2037";"443";"199";"48";"11";"10";"Ottenbach";"8913"
"12";"736";"221";"50";"11";"5";"7";"Rifferswil";"8911"
"13";"2739";"570";"496";"104";"18";"18";"Uetliberg";"8143"
"14";"3716";"863";"485";"113";"13";"13";"Wettswil";"8907"
"21";"469";"92";"22";"1";"1";"5";"Adlikon";"8452"
"22";"690";"133";"76";"10";"8";"11";"BenkenZH";"8463"
"23";"511";"76";"43";"4";"5";"8";"Gräslikon";"8415"
"24";"713";"186";"63";"8";"4";"9";"BuchamIrchel";"8414"
"25";"1560";"400";"223";"46";"12";"14";"Dachsen";"8447"
"26";"508";"126";"39";"6";"5";"8";"Dorf";"8458"
"27";"2878";"586";"662";"131";"22";"23";"Feuerthalen";"8245"
"27";"2878";"586";"662";"131";"22";"23";"Langwiesen";"8246"
"28";"1088";"243";"128";"29";"12";"12";"Flaach";"8416"
"29";"1163";"251";"172";"32";"13";"15";"Flurlingen";"8247"
"30";"1673";"390";"240";"35";"9";"14";"Andelfingen";"8450"
"31";"1753";"501";"167";"40";"8";"10";"Henggart";"8444"
"32";"377";"106";"24";"3";"3";"6";"Humlikon";"8457"
"33";"1620";"393";"180";"34";"9";"11";"Alten";"8453"
"33";"1620";"393";"180";"34";"9";"11";"Kleinandelfingen";"8451"
"33";"1620";"393";"180";"34";"9";"11";"Oerlingen";"8461"
"34";"1277";"281";"134";"23";"8";"10";"Nohl";"8212"
"34";"1277";"281";"134";"23";"8";"10";"Uhwiesen";"8248"
"35";"1641";"327";"157";"23";"7";"10";"Marthalen";"8460"
"35";"1641";"327";"157";"23";"7";"10";"EllikonamRhein";"8464"
"36";"921";"209";"62";"14";"7";"7";"Oberstammheim";"8477"
"36";"921";"209";"62";"14";"7";"7";"Waltalingen";"8468"
"36";"921";"209";"62";"14";"7";"7";"Wilenb.Neunforn";"8525"
"37";"1067";"281";"78";"12";"4";"7";"Trüllikon";"8466"
"37";"1067";"281";"78";"12";"4";"7";"Ossingen";"8475"
"38";"1135";"210";"232";"27";"13";"20";"Rheinau";"8462"
"39";"712";"187";"81";"11";"6";"11";"Thalheim";"8478"
"40";"822";"166";"57";"10";"6";"7";"Wildensbuch";"8465"
"41";"360";"104";"21";"4";"4";"6";"Truttikon";"8467"
"42";"684";"183";"57";"14";"8";"8";"Unterstammheim";"8476"
"43";"243";"67";"33";"6";"9";"14";"Volken";"8459"
"51";"3282";"737";"795";"184";"25";"24";"Bachenbülach";"8184"
"52";"9165";"2078";"2128";"456";"22";"23";"Bassersdorf";"8303"
"53";"14870";"3105";"3625";"800";"26";"24";"Bülach";"8180"
"53";"14870";"3105";"3625";"800";"26";"24";"Glattfelden";"8192"
