PLZ;GA_Name
1000;Lausanne/La C.
1003;Lausanne/La C.
1004;Lausanne/La C.
1005;Lausanne/La C.
1006;Lausanne/La C.
1007;Lausanne/La C.
1008;Lausanne/La C.
1009;Lausanne/La C.
1010;Lausanne/La C.
1011;Lausanne/La C.
1012;Lausanne/La C.
1014;Lausanne/La C.
1015;Lausanne/La C.
1017;Lausanne/La C.
1018;Lausanne/La C.
1020;Lausanne/La C.
1022;Lausanne/La C.
1023;Lausanne/La C.
1024;Lausanne/La C.
1025;Lausanne/La C.
1026;Lausanne/La C.
1027;Lausanne/La C.
1028;Lausanne/La C.
1029;Lausanne/La C.
1030;Lausanne/La C.
1031;Riviera/Nord V.
1032;Lausanne/La C.
1033;Lausanne/La C.
1034;Riviera/Nord V.
1035;Riviera/Nord V.
1036;Riviera/Nord V.
1037;Riviera/Nord V.
1038;Riviera/Nord V.
1039;Lausanne/La C.
1040;Riviera/Nord V.
1041;Riviera/Nord V.
1042;Riviera/Nord V.
1043;Riviera/Nord V.
1044;Riviera/Nord V.
1045;Riviera/Nord V.
1046;Riviera/Nord V.
1047;Riviera/Nord V.
1052;Lausanne/La C.
1053;Lausanne/La C.
;Riviera/Nord V.
1054;Riviera/Nord V.
1055;Riviera/Nord V.
1058;Riviera/Nord V.
1059;Riviera/Nord V.
1061;Riviera/Nord V.
1062;Riviera/Nord V.
1063;Riviera/Nord V.
1066;Lausanne/La C.
1068;Riviera/Nord V.
1070;Riviera/Nord V.
1071;Riviera/Nord V.
1072;Riviera/Nord V.
1073;Riviera/Nord V.
1076;Riviera/Nord V.
1077;Riviera/Nord V.
1078;Riviera/Nord V.
1080;Riviera/Nord V.
1081;Riviera/Nord V.
1082;Riviera/Nord V.
1083;Riviera/Nord V.
1084;Riviera/Nord V.
1085;Riviera/Nord V.
1088;Riviera/Nord V.
1090;Riviera/Nord V.
1091;Riviera/Nord V.
1092;Riviera/Nord V.
1093;Riviera/Nord V.
1094;Lausanne/La C.
1095;Riviera/Nord V.
1096;Riviera/Nord V.
1097;Riviera/Nord V.
1098;Riviera/Nord V.
1099;Riviera/Nord V.
1110;Lausanne/La C.
1112;Lausanne/La C.
1113;Lausanne/La C.
1114;Lausanne/La C.
1115;Lausanne/La C.
1116;Riviera/Nord V.
1117;Riviera/Nord V.
1121;Lausanne/La C.
1122;Lausanne/La C.
1123;Lausanne/La C.
1124;Riviera/Nord V.
1125;Lausanne/La C.
1126;Lausanne/La C.
1127;Lausanne/La C.
1128;Lausanne/La C.
1131;Lausanne/La C.
1132;Lausanne/La C.
1134;Lausanne/La C.
1135;Lausanne/La C.
1136;Lausanne/La C.
1141;Riviera/Nord V.
1142;Riviera/Nord V.
1143;Lausanne/La C.
1144;Lausanne/La C.
1145;Lausanne/La C.
1146;Lausanne/La C.
1147;Riviera/Nord V.
1148;Riviera/Nord V.
1149;Lausanne/La C.
1162;Lausanne/La C.
1163;Lausanne/La C.
1164;Lausanne/La C.
1165;Lausanne/La C.
1166;Lausanne/La C.
1167;Lausanne/La C.
1168;Lausanne/La C.
1169;Lausanne/La C.
1170;Lausanne/La C.
1172;Lausanne/La C.
1173;Lausanne/La C.
1174;Lausanne/La C.
1175;Lausanne/La C.
1176;Lausanne/La C.
1180;Lausanne/La C.
1182;Lausanne/La C.
1183;Lausanne/La C.
1184;Lausanne/La C.
1185;Lausanne/La C.
1186;Lausanne/La C.
1187;Lausanne/La C.
1188;Lausanne/La C.
1189;Lausanne/La C.
1195;Lausanne/La C.
1196;Lausanne/La C.
1197;Lausanne/La C.
1200;Genève
1201;Genève
1202;Genève
1203;Genève
1204;Genève
1205;Genève
1206;Genève
1207;Genève
1208;Genève
1209;Genève
1211;Genève
1212;Genève
1213;Genève
1214;Genève
1215;Genève
1216;Genève
1217;Genève
1218;Genève
1219;Genève
1220;Genève
1222;Genève
1223;Genève
1224;Genève
1225;Genève
1226;Genève
1227;Genève
1228;Genève
1231;Genève
1232;Genève
1233;Genève
1234;Genève
1236;Genève
1237;Genève
1239;Genève
1240;Genève
1241;Genève
1242;Genève
1243;Genève
1244;Genève
1245;Genève
1246;Genève
1247;Genève
1248;Genève
1251;Genève
1252;Genève
1253;Genève
1254;Genève
1255;Genève
1256;Genève
1257;Genève
1258;Genève
1260;Lausanne/La C.
1261;Lausanne/La C.
1262;Lausanne/La C.
1263;Lausanne/La C.
1264;Lausanne/La C.
1265;Lausanne/La C.
1266;Lausanne/La C.
1267;Lausanne/La C.
1268;Lausanne/La C.
1269;Lausanne/La C.
1270;Lausanne/La C.
1271;Lausanne/La C.
1272;Lausanne/La C.
1273;Lausanne/La C.
1274;Lausanne/La C.
1275;Lausanne/La C.
1276;Lausanne/La C.
1277;Lausanne/La C.
1278;Lausanne/La C.
1279;Lausanne/La C.
1281;Genève
1283;Genève
1284;Genève
1285;Genève
1286;Genève
1287;Genève
1288;Genève
1290;Genève
;Lausanne/La C.
1291;Lausanne/La C.
1292;Genève
1293;Genève
1294;Genève
1295;Lausanne/La C.
1296;Lausanne/La C.
1297;Lausanne/La C.
1298;Lausanne/La C.
1299;Lausanne/La C.
1302;Riviera/Nord V.
1303;Riviera/Nord V.
1304;Riviera/Nord V.
1305;Riviera/Nord V.
1306;Riviera/Nord V.
1307;Riviera/Nord V.
1308;Riviera/Nord V.
1312;Riviera/Nord V.
1313;Riviera/Nord V.
1315;Riviera/Nord V.
1316;Riviera/Nord V.
1317;Riviera/Nord V.
1318;Riviera/Nord V.
1321;Riviera/Nord V.
1322;Riviera/Nord V.
1323;Riviera/Nord V.
1324;Riviera/Nord V.
1325;Riviera/Nord V.
1326;Riviera/Nord V.
1329;Riviera/Nord V.
1337;Riviera/Nord V.
1338;Riviera/Nord V.
1341;Riviera/Nord V.
1342;Riviera/Nord V.
1343;Riviera/Nord V.
1344;Riviera/Nord V.
1345;Riviera/Nord V.
1346;Riviera/Nord V.
1347;Riviera/Nord V.
1348;Riviera/Nord V.
1350;Riviera/Nord V.
1352;Riviera/Nord V.
1353;Riviera/Nord V.
1354;Riviera/Nord V.
1355;Riviera/Nord V.
1356;Riviera/Nord V.
1357;Riviera/Nord V.
1358;Riviera/Nord V.
1372;Riviera/Nord V.
1373;Riviera/Nord V.
1374;Riviera/Nord V.
1375;Riviera/Nord V.
1376;Riviera/Nord V.
1377;Riviera/Nord V.
1400;Riviera/Nord V.
1404;Riviera/Nord V.
1405;Riviera/Nord V.
1406;Riviera/Nord V.
1407;Riviera/Nord V.
1408;Riviera/Nord V.
1409;Riviera/Nord V.
1410;Riviera/Nord V.
1412;Riviera/Nord V.
1413;Riviera/Nord V.
1415;Riviera/Nord V.
1416;Riviera/Nord V.
1417;Riviera/Nord V.
1418;Riviera/Nord V.
1420;Riviera/Nord V.
1421;Riviera/Nord V.
1422;Riviera/Nord V.
1423;Riviera/Nord V.
1424;Riviera/Nord V.
1425;Riviera/Nord V.
1426;Riviera/Nord V.
1427;Riviera/Nord V.
1428;Riviera/Nord V.
1429;Riviera/Nord V.
1430;Riviera/Nord V.
